artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine,accessionNumber
Terrifying Terrain,Elizabeth Murray,American,1940,2007,1990,Oil on shaped canvases,84 1/2 x 85 x 11 in. (214.6 x 215.9 x 27.9 cm),Paintings,"Joseph H. Hazen Foundation Purchase Fund, in honor of Cynthia Hazen Polsky, 1991",1991.77
Study for Chain of Pearls,Dennis Oppenheim,American,1938,2011,1984,"Graphite, colored pencil, oil wash, oil, pastel on paper","4 Panels: H. 38, W. 50 inches (10.2 x 127 cm.) (Overall: H. 76, W. 100 inches 193 x 254 cm.)",Drawings,"Van Day Truex Fund, 1992",1992.379a-d
Delaware Water Gap Village,Louis Michel Eilshemius,American,1864,1941,1886,Oil on canvas,25 x 29 7/8 in. (63.5 x 75.9 cm),Paintings,"Arthur Hoppock Hearn Fund, 1950",50.125
Mrs. Sylvester Dering,Daniel Huntington,American,1816,1906,1878,Oil on canvas,30 1/4 x 25 in. (76.8 x 63.5 cm),Paintings,"Gift of Sylvester Dering, 1916",16.68.4
Portrait of a Lady,Nathaniel Rogers,American,1788,1844,0,Watercolor on ivory in green leatherette case with velvet lining,3 x 2 3/8 in. (7.6 x 6 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.172
Nat Hudson's Camp,Carl Sprinchorn,MetDoesntKnow,1887,1971,1944,Gouache on paper,"H. 11-3/4, W. 17-3/8 inches (29.9 x 44.2 cm.)",Drawings,"Gift of John B. Stilwell, 1954",54.63.2
Number 4 - 1960,James Brooks,American,1906,1992,1960,Acrylic and oil on paper,"H. 20-3/4, W. 14-3/4 inches (52.7 x 37.5 cm.)",Drawings,"Gift of Charlotte Park Brooks, 1991",1991.211
Portrait of the Artist,Mary Cassatt,American,1844,1926,1878,"Watercolor, gouache on wove paper laid down to buff-colored wood-pulp paper",23 5/8 x 16 3/16 in. (60 x 41.1 cm),Drawings,"Bequest of Edith H. Proskauer, 1975",1975.319.1
Standing Woman with Man in Outline,Thomas Hovenden,MetDoesntKnow,1840,1895,0,Graphite and white gouache on tan wove paper,17 3/4 x 11 3/4 in. (45.1 x 29.8 cm),Drawings,"Rogers Fund, 1962",62.198.3 recto
"Blue Mountain, New Mexico",Houghton Cranford Smith,American,1887,1983,1923,Oil on canvas,"H. 8, W. 10 inches (20.3 x 25.4 cm.)",Paintings,"Purchase, George A. Hearn Fund, by exchange, 1991",1991.18.3
Spanish Music Hall,Everett Shinn,American,1876,1953,1902,Oil on canvasboard,13 3/4 x 17 3/4 in. (34.9 x 45.1 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",67.187.139
"Sundown at Centre Harbor, New Hampshire",William Trost Richards,American,1833,1905,1874,"Watercolor, gouache, and graphite on gray-green wove paper",8 7/8 x 13 5/8 in. (22.5 x 34.6 cm),Drawings,"Gift of The Reverend E. L. Magoon, D.D., 1880",80.1.1
"The Hill of the Alhambra, Granada",Samuel Colman,American,1832,1920,1865,Oil on canvas,47 1/2 x 72 1/2 in. (120.7 x 184.2 cm),Paintings,"Gift of Mrs. Oswald C. Hering, in memory of her husband, 1968",68.19
Johanna,Ron Janowich,American,1948,0,1985,Oil on canvas,"H. 102, W. 60 inches (259.1 x 152.4 cm.)",Paintings,"George A. Hearn Fund, 1986",1986.230.3
Crowd at the Seashore,William James Glackens,American,1870,1938,1910,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",67.187.126
Vermillion Banner,Margo Hoff,American,1912,2008,1982,"Acrylic, charcoal and cut and pasted canvas on canvas","H. 66, W. 60 inches (167.6 x 152.4 cm.)",Paintings,"Gift of Sally and Owen Fairweather, 1983",1983.578
The Sitter,Larry Rivers,American,1923,2002,1956,Oil on canvas,"H. 51-1/8, W. 47 inches (129.8 x 119.4 cm.)",Paintings,"Hugo Kastor Fund, 1956",56.187
Iconic Wheel,Pamela Nelson,American,1947,0,1990,"Watercolor, gouache, crayon, and graphite underdrawing on paper",Diam.: 11 3/4 in. (29.8 cm),Drawings,"Gift of Barbaralee Diamonstein-Spielvogel, 2009",2009.535.6
The Death of the First Born,Erastus Salisbury Field,MetDoesntKnow,1805,1900,1880,Oil on canvas,35 x 46 in. (88.9 x 116.8 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1966",66.242.24
Untitled (Sheet of Studies),Jackson Pollock,American,1912,1956,1942,"Ink, gouache, watercolor, colored pencils and graphite pencil on paper","H. 26, W. 20-1/2 inches (66 x 52.1 cm.)",Drawings,"Gift of Lee Krasner Pollock, 1982",1982.147.18ab
Design for a window,Louis Comfort Tiffany,American,1848,1933,0,Watercolor and gouache on paper in original matt,null,Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.102
Number 34,John McLaughlin,American,1898,1976,1964,Oil on canvas,"H. 48, W. 60 inches (121.9 x 152.4 cm.)",Paintings,"Gift of Mr. and Mrs. Morris S. Pynoos, 1986",1986.165
The Block,Romare Bearden,American,1911,1988,1971,"Cut and pasted printed, colored and metallic papers, photostats, graphite, ink marker, gouache, watercolor, and ink on Masonite","Overall: H. 48, W. 216 in. (121.9 x 548.6 cm) Six panels, each: H. 48, W. 36 in. (121.9 x 91.4 cm)",Drawings,"Gift of Mr. and Mrs. Samuel Shore, 1978",1978.61.1-.6
Red Painting,Ad Reinhardt,American,1913,1967,1952,Oil on canvas,"H. 78, W. 144 inches (198.1 x 365.8 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1968",68.85
Design for window,Louis Comfort Tiffany,American,1848,1933,0,"Gouache and watercolor in grisaille, light tan; gouache impasto in figure; black chalk (assumed) as underdrawing; ruled black pen and ink borders on off-white wove paper; 1-ply lining paper",Other (Design): 8 3/8 x 3 1/8 in. (21.2 x 8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.438
"Prescience, Foresight",Todd Siler,American,1953,0,1988,"Acrylic, oil, oil stick, cut and pasted paper, pastel, and graphite on canvas","H. 54, W. 108 inches (139.7 x 274.3 cm.)",Paintings,"Gift of Stewart and Judith Colton, 1988",1988.426.1
A Revolutionary Officer,Henry Benbridge,MetDoesntKnow,1743,1812,1780,Watercolor on ivory in gold-colored locket bordered with brilliants,1 17/32 x 1 in. (3.9 x 2.5 cm),Paintings,"Gift of J. William Middendorf II, 1968",68.222.21
Pushing for Rail,Thomas Eakins,American,1844,1916,1874,Oil on canvas,13 x 30 1/16 in. (33 x 76.4 cm),Paintings,"Arthur Hoppock Hearn Fund, 1916",16.65
Look (Sebasti醤),Enrique Martinez Celaya,MetDoesntKnow,1964,0,2003,"Tar, oil, watercolor, graphite, cut and pasted paper on Japanese paper",28 1/8 x 27 in. (71.4 x 68.6 cm),Drawings,"Gift of Dieter and Si Rosenkranz, 2003",2003.332.1
The Mime,Man Ray,American,1890,1976,1916,Oil on Masonite,24 1/4 x 18 1/8in. (61.6 x 46cm) 28 1/2 x 22 1/2 x 1 1/4 in. (72.4 x 57.2 x 3.2 cm) (Frame),Paintings,"Gift of Everett B. Birch, 1982",1982.333
The Bull Ring,Rico Lebrun,MetDoesntKnow,1900,1964,1943,Oil and tempera on canvas,"H. 48, W. 57-7/8 inches (121.9 x 147 cm.)",Paintings,"George A. Hearn Fund, 1944",44.160.3
"The Hudson River Valley near Hudson, New York",American Painter,MetDoesntKnow,0,0,1850,Oil on canvas,19 x 22 1/8 in. (48.3 x 56.2 cm),Paintings,"Robert Lehman Collection, 1975",1975.1.244
Mrs. Gideon Tucker,William Sidney Mount,American,1807,1868,1830,Oil on canvas,34 1/8 x 27 in. (86.7 x 68.6 cm),Paintings,"Bequest of Helen L. Tucker, 1949",49.10.2
Her World,Philip Evergood,American,1901,1973,1948,Oil on canvas,"H. 48, W. 35-5/8 inches (121.9 x 90.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",50.29
Fur Traders Descending the Missouri,George Caleb Bingham,American,1811,1879,1845,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),Paintings,"Morris K. Jesup Fund, 1933",33.61
Man in a Green Coat,Gilbert Stuart,American,1755,1828,1785,Oil on canvas,28 1/2 x 23 1/2 in. (72.3 x 59.7 cm),Paintings,"Bequest of Mary Stillman Harkness, 1950",50.145.37
Design for carp window,Louis Comfort Tiffany,American,1848,1933,1900,"Watercolor, gouache, and graphite on buff-colored wove paper",8 11/16 x 10 15/16 in. (22.1 x 27.8 cm) Other (Design): 4 3/8 x 5 7/8 in. (11.1 x 15 cm) Other (mat/mount size): 14 1/4 x 19 1/4 in. (36.2 x 48.9 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.224
The Gulf Stream,Winslow Homer,American,1836,1910,1899,Oil on canvas,28 1/8 x 49 1/8 in. (71.4 x 124.8 cm),Paintings,"Catharine Lorillard Wolfe Collection, Wolfe Fund, 1906",06.1234
"Off Cape Split, Maine",John Marin,American,1870,1953,1938,Oil on canvas,"H. 22-1/8, W. 28-1/8 inches (56.2 x 71.4 cm.)",Paintings,"George A. Hearn Fund, 1946",46.42
"The Green Lacquer Room, Museo Correr, Venice",Walter Gay,American,1856,1937,1922,Oil on canvas,21 1/2 x 18 1/4 in. (54.6 x 46.4 cm),Paintings,"Bequest of Anne D. Thomson, 1923",23.280.8
The Ameya,Robert Frederick Blum,American,1857,1903,1893,Oil on canvas,25 1/16 x 31 1/16 in. (63.7 x 78.9 cm),Paintings,"Gift of Estate of Alfred Corning Clark, 1904",04.31
"Chancel of Trinity Chapel, New York",John William Hill,MetDoesntKnow,1812,1879,1856,"Watercolor, gouache, black ink, graphite, and gum arabic on off-white wove paper",18 3/8 x 14 1/4 in. (46.7 x 36.2 cm),Drawings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",54.90.157
Landscape,Albert Pinkham Ryder,American,1847,1917,1898,Oil on canvas,9 1/2 x 14 in. (24.1 x 35.6 cm),Paintings,"Gift of Frederick Kuhne, 1952",52.199
Untitled # 9,Agnes Martin,MetDoesntKnow,1912,2004,1984,"Acrylic, India ink, and graphite on canvas","H. 72, W. 72 inches (162.9 x 162.9 cm.)",Paintings,"Gift of American Art Foundation, 1984",1984.435
Solitary,Adolph Gottlieb,American,1903,1974,1957,Oil on canvas,"H. 59-1/4, W. 41-1/2 inches (150.5 x 105.4 cm.)",Paintings,"Gift of Mrs. Iola S. Haverstick, 1981",1981.420
Portrait of the Daughter(?) of Emilius Nicolai Scherr,Date: ca. 1863 Geography: United States Medium: Watercolor,MetDoesntKnow,1863,1983,0,null,null,null,null,null
"Lake Maggiore, May 11,1869: Village and Landscape (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,"Graphite, white gouache, watercolor on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",1982.217.9 recto
Portrait of a Gentleman,Samuel Broadbent Jr.,American,1810,1880,1838,Watercolor on ivory in gilded copper foliate locket; hair reserve verso,2 7/16 x 2 in. (6.2 x 5 cm),Paintings,"Fletcher Fund, 2006",2006.235.18
Flowers of the Field,F. Luis Mora,MetDoesntKnow,1874,1940,1913,Oil on canvas,40 x 36 in. (101.6 x 91.4 cm),Paintings,"Gift of Mr. and Mrs. Walter C. Crawford, 1967",67.24
Walker Evans,Dorothy Eisner,American,1906,1984,1944,Oil and encaustic on Masonite,"H. 25-1/2, W.31-1/4 inches (64.1 x 79.4 cm.)",Paintings,"Gift of John McDonald, 1988",1988.429
Self-Portrait - Night,Karl Schrag,MetDoesntKnow,1912,1995,1980,Oil on canvas,"H. 50, W. 40 inches (127 x 101.6 cm.)",Paintings,"Gift of Henry and Margo Samton, 1982",1982.146
Maine Coast,Winslow Homer,American,1836,1910,1896,Oil on canvas,30 x 40 in. (76.2 x 101.6 cm),Paintings,"Gift of George A. Hearn, in memory of Arthur Hoppock Hearn, 1911",11.116.1
Astarte,John Singer Sargent,American,1856,1925,1895,Oil on canvas,38 5/8 x 12 in. (98.1 x 30.5 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",50.130.3
For Tony's Jane,Robert Swain,American,1940,0,1979,Acrylic on canvas,"H. 108, W. 108 inches (274.3 x 274.3 cm.)",Paintings,"Edith C. Blum Fund, 1982",1982.12
Two Boys,Frank W. Benson,American,1862,1951,1926,Oil on canvas,32 3/16 x 40 1/8 in. (81.8 x 101.9 cm),Paintings,"George A. Hearn Fund, 1927",27.61
Design for chandelier,Louis Comfort Tiffany,American,1848,1933,0,"Colored wax crayon, gouache highlights, and graphite on tissue paper mounted on board.",Overall: 22 1/16 x 15 in. (56 x 38.1 cm) Other (Design): 15 1/4 x 10 7/8 in. (38.7 x 27.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.285
General Winfield Scott,Robert Walter Weir,American,1803,1889,1855,Oil on canvas,33 3/4 x 26 7/8 in. (85.7 x 68.3 cm),Paintings,"Gift of the heirs of William B. Isham, 1910",10.54
Ernesta (Child with Nurse),Cecilia Beaux,American,1855,1942,1894,Oil on canvas,50 1/2 x 38 1/8 in. (128.3 x 96.8 cm),Paintings,"Maria DeWitt Jesup Fund, 1965",65.49
Raspberries and Goldfish,Janet Fish,American,1938,0,1981,Oil on linen with acrylic gesso ground,"H. 72, W. 64 inches (182.9 x 162.6 cm.)",Paintings,"Purchase, The Cape Branch Foundation and Lila Acheson Wallace Gifts, 1983",1983.171
Portrait of a Man,Samuel John Stump,American,1778,1863,1825,Ivory,"Oval, 2 5/8 x 2 1/4 in. (68 x 56 mm)",Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",62.122.44
Design for a window,Louis Comfort Tiffany,American,1848,1933,1905,"Watercolor, gouache, and graphite on off-white wove paper",Overall: 18 1/8 x 10 1/8 in. (46 x 25.7 cm) Other (Design): 17 5/8 x 9 5/8 in. (44.7 x 24.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.94
Diner,John Dubrow,American,1958,0,1984,Oil on canvas,"H. 70-1/2, W. 84 inches (179.1 x 213.4 cm.)",Paintings,"The Metropolitan Museum of Art, New York Gift of Martin and Anne Peretz, 1992",1992.112
Angel Appearing to Three Marys at the Tomb,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache, graphite, and black ink on artist board",Overall: 21 15/16 x 14 5/8 in. (55.7 x 37.1 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.206
From My Studio Window,John Kane,MetDoesntKnow,1860,1934,1932,Oil on canvas,22 3/8 x 34 3/8 in. (56.8 x 87.3 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",67.187.164
Henry La Tourette de Groot,Samuel Lovett Waldo,MetDoesntKnow,1783,1861,1830,Oil on wood,33 x 25 5/8 in. (83.8 x 65.1 cm),Paintings,"Bequest of Mrs. Thomas Hastings, 1936",36.114
"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",John Singer Sargent,American,1856,1925,1899,Oil on canvas,115 x 84 1/8 in. (292.1 x 213.7 cm),Paintings,"Catharine Lorillard Wolfe Collection, Wolfe Fund, 1927",27.67
Portrait of a Lady,John Carlin,American,1813,1891,1850,Watercolor on ivory,1 5/8 x 1 1/4 in. (4.1 x 3.2 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.26
Album,James McNeill Whistler,American,1834,1903,1855,"Drawings in pen and ink, graphite, gouache, and black chalk on off-white and toned wove and laid paper; cover missing",Various sized sheets,Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970",1970.121
In the Deep Woods,Charles Shepard Chapman,American,1879,1962,1917,Oil on canvas,"H. 60-1/4, W. 36 inches (152.4 x 91.4 cm.)",Paintings,"George A. Hearn Fund, 1917",17.80
Seabirds,William Thon,American,1906,2000,1953,Oil on canvas,"H. 20-3/8, W. 44-3/8 inches (51.7 x 112.7 cm.)",Paintings,"Gift of Mr. and Mrs. Morris W. Haft, 1954",54.98
"Coast Guard Station, Two Lights, Maine",Edward Hopper,American,1882,1967,1927,"Watercolor, gouache and charcoal on paper","H. 13-7/8, W. 19-7/8 inches (35.2 x 50.5 cm.)",Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",1974.356.25
Children with Goat,John Carlin,American,1813,1891,1857,Oil on canvas,18 1/8 x 24 1/8 in. (46 x 61.3 cm),Paintings,"Gift of the Carlin family, 2009",2009.315
The Knapp Children,Samuel Lovett Waldo,MetDoesntKnow,1783,1861,1834,Oil on canvas,70 x 57 1/2 in. (177.8 x 146.1 cm),Paintings,"Gift of Mrs. John Knapp Hollins, in memory of her husband, 1959",59.114
The Flying Box,John Hultberg,American,1922,2005,1954,Oil on canvas,"H. 39-1/2, W. 65 inches (100.4 x 165.1 cm.)",Paintings,"George A. Hearn Fund, 1955",55.96
Girl at Sewing Machine,Moses Soyer,MetDoesntKnow,1899,1974,1940,Oil on canvas,"H. 16-1/4, W. 20-1/2 inches (41.3 x 52.1 cm.)",Paintings,"Gift of The Educational Alliance, 1941",41.97
Dual Self-Portrait,Jim Torok,American,1954,0,0,Oil on archival polymer,"2 panels, each 5 x 4 x 1.5  together, 5 x8 x 1.5",Paintings,"Gift of the American Academy of Arts and Letters, New York; Hassam, Speicher, Betts and Symons Funds, 2002","2002.486a, b"
The Celebration of the Mass,Harry W. Watrous,American,1857,1940,1935,Oil on canvas,40 x 36 in. (101.6 x 91.4 cm),Paintings,"Gift of the artist, 1935",35.130
Study for 'The Assault',Domenic Cretara,American,1946,0,1986,Oil on canvas,"H. 28, W. 28 inches (71.1 x 71.1 cm.)",Paintings,"Gift of Tama and David Segal, 1988",1988.194
Red Goat,John Alexander,American,1945,0,1983,Oil on canvas,"H. 74, W. 84 inches (188 x 213.4 cm.)",Paintings,"Purchase, Anonymous Gift, 1983",1983.256
Portrait of a Man,Formerly attributed to Thomas Hicks,American,1823,1890,1850,Oil on canvas,26 1/2 x 19 3/4 in. (66.5 x 49 cm),Paintings,"Gift of The Chester Dale Collection, 1955",55.73.3
Elegy Number 12 (After MH's Iron Cross),Anthony Viti,American,1961,0,1992,Oil on Masonite,"H. 11, W. 11 inches (27.9 x 27.9 cm.)",Paintings,"George A. Hearn Fund, 1993",1993.117.2
Undulation Series,Richard Pousette-Dart,American,1916,1992,1944,"Gouache, watercolor, and ink on paper","H. 23, W. 31-1/2 inches (58.4 x 80 cm.)",Drawings,"Anonymous Gift, 1991",1991.476.1
"From the Faraway, Nearby",Georgia O'Keeffe,American,1887,1986,1937,Oil on canvas,36 x 40 1/8 in. (91.4 x 101.9 cm),Paintings,"Alfred Stieglitz Collection, 1959",59.204.2
Untitled Grey Number 11,Lydia Dona,American,1955,0,1987,"Oil, enamel acrylic on canvas","H. 72, W. 96 inches (182.9 x 243.8 cm.)",Paintings,"Gift of Phyllis A. Goldman, 1988",1988.237
The Student,Thomas Sully,American,1783,1872,1839,Oil on canvas,23 1/2 x 19 1/2 in. (59.7 x 49.5 cm),Paintings,"Bequest of Francis T. Sully Darley, 1914",14.126.4
Daniel Crommelin Verplanck,John Singleton Copley,American,1738,1815,1771,Oil on canvas,49 1/2 x 40 in. (125.7 x 101.6 cm),Paintings,"Gift of Bayard Verplanck, 1949",49.12
Musidora,Thomas Sully,American,1783,1872,1835,Oil on wood,28 1/8 x 22 1/2 in. (71.4 x 57.2 cm),Paintings,"Gift of Louis Allston Gillet, in memory of his uncles, Sully Gillet and Lorenzo M. Gillet, 1921",21.48
Martha Washington,James Peale,American,1749,1831,1782,Watercolor on ivory,1 1/2 x 1 in. (3.8 x 2.5 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2006",2006.235.327
Goat,Arthur Dove,American,1880,1946,1935,"Oil on canvas, with selective varnish",23 x 31 in. (58.4 x 78.7 cm),Paintings,"Alfred Stieglitz Collection, 1949",49.70.37
Fairfield Osborn,John Carroll,American,1892,1959,0,Oil on canvas,"H. 40, W. 32-1/2 inches (101.6 x 82.6 cm.)",Paintings,"Gift of Mrs. Loretta H. Howard, 1959",59.199
Still Life with Two Figures,Sam Messer,American,1955,0,1984,Oil on canvas,"H. 34-1/4, W. 34-1/4 inches (87 x 87 cm.)",Paintings,"Gift of Barbara and Eugene Schwartz, 1985",1985.450.2
The Greatest Show on Earth,Paul Marcus,American,1953,0,1987,Oil on etched wood,"H. 72, W. 96 inches (183.9 x 243.8 cm.)",Paintings,"The Metropolitan Museum of Art, New York George A. Hearn Fund, 1988",1988.53a-c
Key of Agenor III,Jules Olitski,MetDoesntKnow,1922,2007,1981,Oil base enamel on paper,"H. 31, W. 23 inches (78.7 x 58.4 cm.)",Drawings,"George A. Hearn Fund, 1983",1983.98
Rushing Water,John Singer Sargent,American,1856,1925,0,"Watercolor, gouache, and graphite on white wove paper",14 x 9 15/16 in. (35.6 x 25.2 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.80e
"William M. Chase, N. A.",John Singer Sargent,American,1856,1925,1902,Oil on canvas,62 1/2 x 41 3/8 in. (158.8 x 105.1 cm),Paintings,"Gift of the Pupils of Mr. Chase, 1905",05.33
My Father's Sketch Pad,Melissa Meyer,American,1947,0,1987,Oil on canvas,"H. 66, W. 80 inches (167.6 x 203.2 cm.)",Paintings,"Gift of Mr. and Mrs. Charles A Krasne, 1987",1987.466
The Flatiron Building,Samuel Halpert,American,1884,1930,1919,Oil on canvas,"H. 40, W. 34 inches (101.6 x 86.4 cm.)",Paintings,"Gift of Dr. and Mrs. Wesley Halpert, 1981",1981.36
On Point,Arthur Fitzwilliam Tait,MetDoesntKnow,1819,1905,1874,Oil on wood,10 x 13 3/4 in. (25.4 x 34.3 cm),Paintings,"Gift of Mrs. J. Augustus Barnard, 1979",1979.490.6
Mr. and Mrs. Anson Phelps Stokes,Cecilia Beaux,American,1855,1942,1898,Oil on canvas,72 1/16 x 39 7/8 in. (183 x 101.3 cm),Paintings,"Gift of the family of the Rev. and Mrs. Anson Phelps Stokes, 1965",65.252
The Dog Killer,William P. Chappel,American,1800,1880,1870,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",54.90.513
Interior,Samuel Halpert,American,1884,1930,1917,Oil on canvas,"H. 20, W. 16-1/8 inches (50.8 x 41 cm.)",Paintings,"Gift of Carolyn and Dr. Wesley Halpert, 1993",1993.407
Berg's Ship Yard,William P. Chappel,American,1800,1880,1870,Oil on slate paper,6 1/8 x 9 1/8 in. (15.6 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",54.90.511
